year,collabType,id,link,metricType,name,percentageByYear,threshold,type,uri,valueByYear
2012,Institutional collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,7.630763
2013,Institutional collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,6.313152
2014,Institutional collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,5.3007545
2015,Institutional collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,3.6480954
2016,Institutional collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,1.7053572
2012,International collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,29.004145
2013,International collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,17.811161
2014,International collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,14.485518
2015,International collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,10.055346
2016,International collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,5.1190352
2012,National collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,11.37171
2013,National collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,9.916429
2014,National collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,7.4079757
2015,National collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,5.3259025
2016,National collaboration,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,2.4723346
2012,Single authorship,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,4.913295
2013,Single authorship,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,4.9912663
2014,Single authorship,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,2.963801
2015,Single authorship,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,1.6116072
2016,Single authorship,203168,https://api.elsevier.com/metrics/CollaborationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,0.8811881
2012,,203168,https://api.elsevier.com/metrics/FieldWeightedCitationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,FieldWeightedCitationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,1.1942286
2013,,203168,https://api.elsevier.com/metrics/FieldWeightedCitationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,FieldWeightedCitationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,1.1040531
2014,,203168,https://api.elsevier.com/metrics/FieldWeightedCitationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,FieldWeightedCitationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,1.1240504
2015,,203168,https://api.elsevier.com/metrics/FieldWeightedCitationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,FieldWeightedCitationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,1.1995416
2016,,203168,https://api.elsevier.com/metrics/FieldWeightedCitationImpact/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,FieldWeightedCitationImpact,Shanghai Jiao Tong University,,,application/json,Institution/203168,1.2033013
2012,,203168,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Shanghai Jiao Tong University,1.4088502,1.0,application/json,Institution/203168,149.0
2013,,203168,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Shanghai Jiao Tong University,1.4321609,1.0,application/json,Institution/203168,171.0
2014,,203168,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203168?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203168&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Shanghai Jiao Tong University,1.8048025,1.0,application/json,Institution/203168,233.0
