name,index,patent_count_2012,patent_count_2013,patent_count_2014,patent_count_2015,patent_count_2016
Harvard University,,,,,3.0,
Institute of Geographical Sciences and Natural Resources Research Chinese Academy of Sciences,,,,,0.0,
Institute of Computing Technology Chinese Academy of Sciences,,,,,1.0,
Harvard University,,,,,3.0,
Institute of Geographical Sciences and Natural Resources Research Chinese Academy of Sciences,,,,,0.0,
Institute of Computing Technology Chinese Academy of Sciences,,,,,1.0,
Harvard University,,,,,3.0,
Institute of Geographical Sciences and Natural Resources Research Chinese Academy of Sciences,,,,,0.0,
Institute of Computing Technology Chinese Academy of Sciences,,,,,1.0,
Kunming Institute of Botany Chinese Academy of Sciences,,,,,3.0,
Institute of Genetics and Developmental Biology Chinese Academy of Sciences,,,,,6.0,
Xi'an Institute of Optics and Precision Mechanics Chinese Academy of Sciences,,,,,0.0,
"Institute of Hydrobiology, Chinese Academy of Sciences",,,,,1.0,
Wuhan Institute of Physics and Mathematics Chinese Academy of Sciences,,,,,3.0,
Shenyang Institute of Automation Chinese Academy of Sciences,,,,,0.0,
Nanjing Institute of Geology and Palaeontology Chinese Academy of Sciences,,,,,0.0,
Hefei Institutes of Physical Sciences Chinese Academy of Sciences,,,,,0.0,
Wuhan Institute of Virology Chinese Academy of Sciences,,,,,3.0,
"Institut Pasteur of Shanghai, Chinese Academy of Sciences",,,,,6.0,
Chengdu Institute of Organic Chemistry Chinese Academy of Sciences,,,,,0.0,
Center for Space Science and Applied Research Chinese Academy of Sciences,,,,,0.0,
Harvard University,,,,,3.0,
Institute of Geographical Sciences and Natural Resources Research Chinese Academy of Sciences,,,,,0.0,
Institute of Computing Technology Chinese Academy of Sciences,,,,,1.0,
Kunming Institute of Botany Chinese Academy of Sciences,,,,,3.0,
Institute of Genetics and Developmental Biology Chinese Academy of Sciences,,,,,6.0,
Xi'an Institute of Optics and Precision Mechanics Chinese Academy of Sciences,,,,,0.0,
"Institute of Hydrobiology, Chinese Academy of Sciences",,,,,1.0,
Wuhan Institute of Physics and Mathematics Chinese Academy of Sciences,,,,,3.0,
Shenyang Institute of Automation Chinese Academy of Sciences,,,,,0.0,
Nanjing Institute of Geology and Palaeontology Chinese Academy of Sciences,,,,,0.0,
Hefei Institutes of Physical Sciences Chinese Academy of Sciences,,,,,0.0,
Wuhan Institute of Virology Chinese Academy of Sciences,,,,,3.0,
"Institut Pasteur of Shanghai, Chinese Academy of Sciences",,,,,6.0,
Chengdu Institute of Organic Chemistry Chinese Academy of Sciences,,,,,0.0,
Center for Space Science and Applied Research Chinese Academy of Sciences,,,,,0.0,
Qinghai Institute of Salt Lakes Chinese Academy of Sciences,,,,,0.0,
"International Center for Material Physics, Chinese Academy of Sciences",,,,,0.0,
Institute of Soil Sciences Chinese Academy of Sciences,,,,,0.0,
Shenyang Institute of Computing Technology Chinese Academy of Sciences,,,,,0.0,
"Institute of Subtropical Agriculture, Chinese Academy of Sciences",,,,,0.0,
"Wuhan Institute of Rock and Soil Mechanics, Chinese Academy of Sciences",,,,,0.0,
Chinese Academy of Sciences,,,,,828.0,
CNRS,,,,,764.0,
Ministry of Education China,,,,,0.0,
Stanford University,,,,,4.0,
University of Toronto,,,,,82.0,
University of Oxford,,,,,25.0,
University College London,,,,,8.0,
Johns Hopkins University,,,,,667.0,
University of Washington,,,,,361.0,
University of Michigan,,,,,545.0,
Universite Paris Saclay,,,,,0.0,
National Institutes of Health,,,,,41.0,
University of Pennsylvania,,,,,388.0,
University of California at Los Angeles,,,,,0.0,
University of Cambridge,,,,,8.0,
Columbia University,,,,,424.0,
Imperial College London,,,,,5.0,
Massachusetts Institute of Technology,,,,,1063.0,
INSERM,,,,,595.0,
University of California at Berkeley,,,,,0.0,
University of California at San Diego,,,,,0.0,
CSIC,,,,,135.0,
University of British Columbia,,,,,120.0,
University of Copenhagen,,,,,34.0,
Duke University,,,,,277.0,
Yale University,,,,,201.0,
Cornell University,,,,,381.0,
University of California at San Francisco,,,,,0.0,
University of Melbourne,,,,,53.0,
University of Texas at Austin,,,,,1.0,
University of Sydney,,,,,64.0,
University of Pittsburgh,,,,,196.0,
Tsinghua University,,,,,694.0,
University of Wisconsin,,,,,0.0,
Universite Pierre et Marie Curie,,,,,151.0,
University of Minnesota,,,,,227.0,
VA Medical Center,,,,,0.0,
University of Tokyo,,,,,429.0,
Northwestern University,,,,,276.0,
KU Leuven,,,,,28.0,
Peking University,,,,,276.0,
National University of Singapore,,,,,230.0,
University of North Carolina,,,,,248.0,
The Ohio State University,,,,,98.0,
University of Queensland,,,,,83.0,
University of Amsterdam,,,,,1.0,
New York University,,,,,256.0,
ETH Zurich,,,,,151.0,
University of Edinburgh,,,,,49.0,
Shanghai Jiao Tong University,,,,,52.0,
McGill University,,,,,92.0,
Utrecht University,,,,,0.0,
Monash University,,,,,61.0,
King's College London,,,,,43.0,
University of Manchester,,,,,84.0,
CNR,,,,,18.0,
University of Southern California,,,,,0.0,
University of New South Wales,,,,,0.0,
University of Illinois at Urbana-Champaign,,,,,0.0,
University of Chicago,,,,,104.0,
Pennsylvania State University,,,,,3.0,
Universidade de Sao Paulo,,,,,10.0,
Zhejiang University,,,,,111.0,
Karolinska Institutet,,,,,3.0,
Washington University St. Louis,,,,,0.0,
University of Heidelberg,,,,,1.0,
Nanyang Technological University,,,,,207.0,
University of California at Davis,,,,,0.0,
University of Florida,,,,,384.0,
Seoul National University,,,,,155.0,
University of Rome La Sapienza,,,,,0.0,
Ghent University,,,,,6.0,
University of Maryland,,,,,219.0,
Mayo Clinic Rochester MN,,,,,0.0,
Emory University,,,,,154.0,
University of Zurich,,,,,28.0,
Universite Paris-Sud,,,,,94.0,
Vanderbilt University,,,,,152.0,
Ludwig-Maximilians-University Munchen,,,,,0.0,
Technische Universitat Munchen,,,,,75.0,
Universitat de Barcelona,,,,,29.0,
Boston University,,,,,95.0,
CEA,,,,,23.0,
PSL Research University,,,,,0.0,
University of Alberta,,,,,83.0,
Erasmus University Rotterdam,,,,,0.0,
Vrije Universiteit,,,,,49.0,
RAS,,,,,26.0,
Lund University,,,,,1.0,
Texas A and M University,,,,,0.0,
Georgia Institute of Technology,,,,,6.0,
Universitat Autonoma de Barcelona,,,,,37.0,
University of Helsinki,,,,,4.0,
University of Groningen,,,,,0.0,
Aarhus University,,,,,3.0,
University of Oslo,,,,,15.0,
Radboud University Nijmegen,,,,,1.0,
University of Arizona,,,,,131.0,
Princeton University,,,,,149.0,
Purdue University,,,,,1.0,
Howard Hughes Medical Institute,,,,,21.0,
University of Padova,,,,,0.0,
Uppsala University,,,,,0.0,
Fudan University,,,,,54.0,
University of Colorado Boulder,,,,,0.0,
University of Southampton,,,,,56.0,
Universite de Montreal,,,,,27.0,
University of Milan,,,,,0.0,
California Institute of Technology,,,,,545.0,
Ecole Polytechnique Federale de Lausanne (EPFL),,,,,148.0,
Leiden University,,,,,14.0,
Michigan State University,,,,,109.0,
Centers for Disease Control and Prevention,,,,,15.0,
University of Birmingham,,,,,0.0,
University of Texas M. D. Anderson Cancer Center,,,,,1.0,
Aix Marseille Universite,,,,,2.0,
University of California at Irvine,,,,,0.0,
U.S. Department of Agriculture,,,,,1.0,
University of Utah,,,,,239.0,
University of Western Australia,,,,,32.0,
Carnegie Mellon University,,,,,130.0,
Memorial Sloan-Kettering Cancer Center,,,,,118.0,
Icahn School of Medicine at Mount Sinai (ISMMS),,,,,0.0,
National Taiwan University,,,,,297.0,
University of Naples Federico II,,,,,0.0,
Arizona State University,,,,,217.0,
McMaster University,,,,,46.0,
University of Glasgow,,,,,34.0,
Lawrence Berkeley National Laboratory,,,,,2.0,
Huazhong University of Science and Technology,,,,,69.0,
University of Colorado Denver,,,,,1.0,
Sun Yat-Sen University,,,,,67.0,
"Rutgers - The State University of New Jersey, New Brunswick",,,,,0.0,
University of Virginia,,,,,140.0,
University of Sheffield,,,,,20.0,
Baylor College of Medicine,,,,,108.0,
University of Nottingham,,,,,40.0,
Nanjing University,,,,,62.0,
Australian National University,,,,,15.0,
University of Calgary,,,,,2.0,
University of Science and Technology of China,,,,,21.0,
Universite Grenoble Alpes,,,,,0.0,
University of Bern,,,,,4.0,
University of Hong Kong,,,,,215.0,
University of Geneva,,,,,8.0,
RWTH Aachen University,,,,,1.0,
Universidad Autonoma de Madrid,,,,,25.0,
AP-HP Assistance Publique - Hopitaux de Paris,,,,,0.0,
Tel Aviv University,,,,,196.0,
King Abdulaziz University,,,,,19.0,
Harbin Institute of Technology,,,,,44.0,
University of Adelaide,,,,,0.0,
Osaka University,,,,,304.0,
Dana-Farber Cancer Institute,,,,,222.0,
Delft University of Technology,,,,,1.0,
University of Iowa,,,,,97.0,
INRA Institut National de La Recherche Agronomique,,,,,2.0,
Tohoku University,,,,,301.0,
Universidad Complutense,,,,,18.0,
Technische Universitat Dresden,,,,,69.0,
Case Western Reserve University,,,,,216.0,
Universite Paris 5,,,,,0.0,
University of Basel,,,,,6.0,
Queen Mary University of London,,,,,30.0,
University of Liverpool,,,,,30.0,
Wageningen University & Research,,,,,0.0,
University of Gothenburg,,,,,0.0,
Chinese University of Hong Kong,,,,,60.0,
Technical University of Denmark,,,,,35.0,
University of Bonn,,,,,3.0,
Brown University,,,,,60.0,
Islamic Azad University,,,,,0.0,
University of Erlangen-Nuremberg,,,,,0.0,
Charite - Universitatsmedizin Berlin,,,,,34.0,
University of Ottawa,,,,,30.0,
Medical Research Council,,,,,66.0,
Xi'an Jiaotong University,,,,,0.0,
University of Freiburg,,,,,0.0,
University of Miami,,,,,63.0,
Cleveland Clinic Foundation,,,,,218.0,
Shandong University,,,,,16.0,
Karlsruhe Institute of Technology KIT,,,,,2.0,
University of Leeds,,,,,53.0,
University of California at Santa Barbara,,,,,0.0,
University of Pisa,,,,,0.0,
Sungkyunkwan University,,,,,238.0,
University of Auckland,,,,,1.0,
University of Tubingen,,,,,0.0,
Polish Academy of Sciences,,,,,3.0,
Tufts University,,,,,67.0,
Universidade de Lisboa,,,,,5.0,
Universidade do Porto,,,,,19.0,
University of Rochester,,,,,168.0,
Yeshiva University,,,,,58.0,
University of Illinois at Chicago,,,,,0.0,
Charles University,,,,,0.0,
University of Gottingen,,,,,0.0,
Royal Institute of Technology,,,,,0.0,
Wuhan University,,,,,19.0,
Maastricht University,,,,,11.0,
Sichuan University,,,,,26.0,
Virginia Polytechnic Institute and State University,,,,,1.0,
University of Warwick,,,,,31.0,
Cardiff University,,,,,1.0,
Czech Academy of Sciences,,,,,0.0,
Universitat de Valencia,,,,,21.0,
