year,collabType,id,link,metricType,name,percentageByYear,threshold,type,uri,valueByYear
2012,Institutional collaboration,508175,https://api.elsevier.com/metrics/CollaborationImpact/institution/508175?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=508175&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Northwestern University,,,application/json,Institution/508175,19.976513
2013,Institutional collaboration,508175,https://api.elsevier.com/metrics/CollaborationImpact/institution/508175?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=508175&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Northwestern University,,,application/json,Institution/508175,15.833333
2014,Institutional collaboration,508175,https://api.elsevier.com/metrics/CollaborationImpact/institution/508175?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=508175&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Northwestern University,,,application/json,Institution/508175,12.301461
2015,Institutional collaboration,508175,https://api.elsevier.com/metrics/CollaborationImpact/institution/508175?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=508175&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Northwestern University,,,application/json,Institution/508175,7.7147393
2016,Institutional collaboration,508175,https://api.elsevier.com/metrics/CollaborationImpact/institution/508175?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=508175&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Northwestern University,,,application/json,Institution/508175,3.283288
2012,International collaboration,508175,https://api.elsevier.com/metrics/CollaborationImpact/institution/508175?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=508175&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Northwestern University,,,application/json,Institution/508175,50.07901
2013,International collaboration,508175,https://api.elsevier.com/metrics/CollaborationImpact/institution/508175?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=508175&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Northwestern University,,,application/json,Institution/508175,27.196188
2014,International collaboration,508175,https://api.elsevier.com/metrics/CollaborationImpact/institution/508175?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=508175&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Northwestern University,,,application/json,Institution/508175,22.017263
2015,International collaboration,508175,https://api.elsevier.com/metrics/CollaborationImpact/institution/508175?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=508175&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Northwestern University,,,application/json,Institution/508175,15.947261
2016,International collaboration,508175,https://api.elsevier.com/metrics/CollaborationImpact/institution/508175?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=508175&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Northwestern University,,,application/json,Institution/508175,8.818695
2012,National collaboration,508175,https://api.elsevier.com/metrics/CollaborationImpact/institution/508175?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=508175&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Northwestern University,,,application/json,Institution/508175,25.43419
2013,National collaboration,508175,https://api.elsevier.com/metrics/CollaborationImpact/institution/508175?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=508175&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=CiteScore&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Northwestern University,,,application/json,Institution/508175,19.950945
