,name,establishment_date,source_link,concerns,establishment_year
0,Rockefeller University,,,,
1,University of California at San Francisco,1864,https://en.wikipedia.org/wiki/University_of_California_at_San_Francisco,,1864.0
2,"Rutgers - The State University of New Jersey, New Brunswick",,,,
3,University of Texas Southwestern Medical Center,1943,https://en.wikipedia.org/wiki/University_of_Texas_Southwestern_Medical_Center,,1943.0
4,University of Delaware,1743,https://en.wikipedia.org/wiki/University_of_Delaware,,1743.0
5,Virginia Commonwealth University,1968,https://en.wikipedia.org/wiki/Virginia_Commonwealth_University,1,1968.0
6,Universite Paris 5,,,,
7,City University of New York,1961,https://en.wikipedia.org/wiki/City_University_of_New_York,1,1961.0
8,Icahn School of Medicine at Mount Sinai (ISMMS),,,,
9,University of Texas M. D. Anderson Cancer Center,1941,https://en.wikipedia.org/wiki/University_of_Texas_M._D._Anderson_Cancer_Center,,1941.0
10,University of Texas Health Science Center at Houston,,,,
11,Baylor College of Medicine,,,,
12,Ecole Polytechnique,,,,
13,King Abdullah University of Science and Technology,,,,
14,Jilin University,,,,
15,University of Kentucky,,,,
16,Indiana University-Purdue,,,,
17,Yeshiva University,,,,
18,SUNY Buffalo,,,,
19,SUNY Albany,,,,
20,Saarland University,,,,
21,Nankai University,,,,
22,Hannover Medical School,,,,
23,Universitat Politecnica de Catalunya,,,,
24,Weizmann Institute of Science,,,,
25,Washington State University Pullman,,,,
26,Nanjing University of Aeronautics and Astronautics,,,,
27,National Technical University of Athens,,,,
28,University of New Mexico,,,,
29,Islamic Azad University,,,,
30,University of Belgrade,,,,
31,National University of Defense Technology,,,,
32,University of Leipzig,,,,
33,University of Central Florida,,,,
34,Beijing University of Posts and Telecommunications,,,,
35,Friedrich-Schiller-Universitat Jena,,,,
36,"Rutgers - The State University of New Jersey, Newark",,,,
37,Medical University of South Carolina,,,,
38,University of Maine,,,,
39,Nanjing University of Science and Technology,,,,
40,Lanzhou University,,,,
41,Jawaharlal Nehru University,,,,
42,London School of Hygiene and Tropical Medicine,,,,
43,Universidad de Buenos Aires,,,,
44,Beijing University of Chemical Technology,,,,
45,Universidade Estadual Paulista Julio de Mesquita Filho,,,,
46,Technische Universitat Braunschweig,,,,
47,Heinrich-Heine-University Dusseldorf,,,,
48,University of Perugia,,,,
49,Thomas Jefferson University,,,,
50,Universite de Rennes 1,,,,
51,University of Guelph,,,,
52,University of Missouri at Kansas City,,,,
53,Clemson University,,,,
54,Capital University of Medical Sciences,,,,
55,Jiangnan University,,,,
56,University of Louisville,,,,
57,University of Regensburg,,,,
58,Brigham Young University,,,,
59,University of Massachusetts Medical School,,,,
60,Peking Union Medical College,,,,
61,Medical College of Wisconsin,,,,
62,Universite Francois Rabelais,,,,
63,University of Mississippi,,,,
64,West Virginia University,,,,
65,"Indian Institute of Technology, Kanpur",,,,
66,Tokushima University,,,,
67,Universite de Bourgogne,,,,
68,University of North Texas,,,,
69,Universite Toulouse III - Paul Sabatier,,,,
70,Ohio University,,,,
71,Northwest Agriculture and Forestry University,,,,
72,Harbin Engineering University,,,,
73,Southwest University,,,,
74,University of Massachusetts Boston,,,,
75,University of Texas Health Science Center at San Antonio,,,,
76,Beijing University of Technology,,,,
77,Innsbruck Medical University,,,,
78,Catholic University of Korea,,,,
79,Donghua University,,,,
80,Shenzhen University,,,,
81,Zhengzhou University,,,,
82,Universite du Quebec a Montreal,,,,
83,University of Rostock,,,,
84,Wroclaw University of Technology,,,,
85,Utah State University,,,,
86,Hefei University of Technology,,,,
87,Tarbiat Modarres University,,,,
88,Ryerson University,,,,
89,Otto-von-Guericke University Magdeburg,,,,
90,Ferdowsi University of Mashhad,,,,
91,Second Military Medical University,,,,
92,Nanchang University,,,,
93,University of Campania Luigi Vanvitelli,,,,
94,Southern Illinois University,,,,
95,Kitasato University,,,,
96,Universidade Federal de Sao Paulo,,,,
97,Universite Paris-Est,,,,
98,University of Verona,,,,
99,Orta Dogu Technical University,,,,
100,Hohai University,,,,
101,University of Plymouth,,,,
102,"University of Nevada, Reno",,,,
103,Universidad de Castilla-La Mancha,,,,
104,University of North Carolina at Charlotte,,,,
105,Zhejiang University of Technology,,,,
106,Murdoch University,,,,
107,Cranfield University,,,,
108,University of Wroclaw,,,,
109,Universidad Carlos III de Madrid,,,,
110,Martin-Luther-Universitat Halle-Wittenberg,,,,
111,Universidad de Murcia,,,,
112,Fourth Military Medical University,,,,
113,Third Military Medical University,,,,
114,"Indian Institute of Technology, Guwahati",,,,
115,Loyola University Chicago,,,,
116,Universite de Nice-Sophia Antipolis,,,,
117,Universidad de Malaga,,,,
118,University of Texas Medical Branch at Galveston,,,,
119,University of Wyoming,,,,
120,University of Jinan,,,,
121,Royal Holloway University of London,,,,
122,Universidad de Vigo,,,,
123,Ecole Polytechnique de Montreal,,,,
124,City University London,,,,
125,University of Tennessee Health Science Center,,,,
126,China University of Petroleum (East China),,,,
127,Universitat Bayreuth,,,,
128,University of New Hampshire,,,,
129,University of Udine,,,,
130,University of Akron,,,,
131,Southern Medical University,,,,
132,Universitat Bielefeld,,,,
133,South China Normal University,,,,
134,Universidad de Salamanca,,,,
135,University of Tromso,,,,
136,Kazan Volga Region Federal University,,,,
137,Universidade Federal do Parana,,,,
138,Tokyo Medical and Dental University,,,,
139,University of Tennessee System,,,,
140,Instituto Politecnico Nacional,,,,
141,University of Sfax,,,,
142,University of Missouri at St. Louis,,,,
143,Universidade Federal de Pernambuco,,,,
144,Eotvos Lorand University,,,,
145,Kunming University of Science and Technology,,,,
146,Universita Roma Tre,,,,
147,University of Messina,,,,
148,Universidad de Cordoba,,,,
149,Universidad Nacional de Colombia,,,,
150,Open University Milton Keynes,,,,
151,SUNY Downstate Medical Center,,,,
152,China Medical University Taichung,,,,
153,University of Oldenburg,,,,
154,Universidad de Extremadura,,,,
155,Universite de Franche-Comte,,,,
156,University of Idaho,,,,
157,North Dakota State University,,,,
158,Yangzhou University,,,,
159,Universidad de Alcala,,,,
160,All India Institute of Medical Sciences,,,,
161,National Sun Yat-sen University,,,,
162,Vellore Institute of Technology,,,,
163,SUNY Binghamton,,,,
164,Universitat Jaume I,,,,
165,Postgraduate Institute of Medical Education and Research,,,,
166,National Chung Hsing University,,,,
167,Universite des Sciences et Technologies de Lille,,,,
168,Lulea University of Technology,,,,
169,Korea Institute of Science and Technology,,,,
170,University of L'Aquila,,,,
171,University of Girona,,,,
172,Gdansk University of Technology,,,,
173,Palacky University,,,,
174,Uniformed Services University of the Health Sciences,,,,
175,Michigan Technological University,,,,
176,Anhui University,,,,
177,Bogazici University,,,,
178,Ningbo University,,,,
179,Guangdong University of Technology,,,,
180,Dongguk University,,,,
181,Shanxi University,,,,
182,XiangTan University,,,,
183,Silesian University of Technology,,,,
184,Universite d'Angers,,,,
185,Universite Paris XII,,,,
186,Universidad Nacional de La Plata,,,,
187,Universidade de Brasilia,,,,
188,University of Lubeck,,,,
189,Universidad de Valladolid,,,,
190,Chongqing University of Medical Sciences,,,,
191,University of A Coruna,,,,
192,University of Novi Sad,,,,
193,Qingdao University,,,,
194,CentraleSupelec,,,,
195,Tianjin Medical University,,,,
196,Universidade Federal do Ceara,,,,
197,Universidade Federal de Sao Carlos,,,,
198,University of Natural Resources and Applied Life Sciences,,,,
