name,establishment_date,establishment_year,source_link,concerns,
Rockefeller University,1901,1901,https://en.wikipedia.org/wiki/Rockefeller_University,,
University of California at San Francisco,1864,1864,https://en.wikipedia.org/wiki/University_of_California_at_San_Francisco,,
"Rutgers - The State University of New Jersey, New Brunswick","‘November 10, 1766",1766,https://en.wikipedia.org/wiki/Rutgers_University,,
University of Texas Southwestern Medical Center,1943,1943,https://en.wikipedia.org/wiki/University_of_Texas_Southwestern_Medical_Center,,
University of Delaware,1743,1743,https://en.wikipedia.org/wiki/University_of_Delaware,,
Virginia Commonwealth University,1968,1968,https://en.wikipedia.org/wiki/Virginia_Commonwealth_University,1,
Universite Paris 5,"1971, following the division of the University of Paris",1971,https://en.wikipedia.org/wiki/Paris_Descartes_University,1,
City University of New York,1961[2],1961,https://en.wikipedia.org/wiki/City_University_of_New_York,1,
Icahn School of Medicine at Mount Sinai (ISMMS),1963,1963,https://en.wikipedia.org/wiki/Icahn_School_of_Medicine_at_Mount_Sinai,1,
University of Texas M. D. Anderson Cancer Center,1941,1941,https://en.wikipedia.org/wiki/University_of_Texas_M._D._Anderson_Cancer_Center,,
University of Texas Health Science Center at Houston,1972,1972,https://en.wikipedia.org/wiki/University_of_Texas_Health_Science_Center_at_Houston,1,
Baylor College of Medicine,1900,1900,https://en.wikipedia.org/wiki/Baylor_College_of_Medicine,,
Ecole Polytechnique,1794,1794,https://en.wikipedia.org/wiki/Ecole_Polytechnique,,
King Abdullah University of Science and Technology,"September 23, 2009",2009,https://en.wikipedia.org/wiki/King_Abdullah_University_of_Science_and_Technology,1,
Jilin University,1946,1946,https://en.wikipedia.org/wiki/Jilin_University,,
University of Kentucky,1865,1865,https://en.wikipedia.org/wiki/University_of_Kentucky,,
Indiana University-Purdue,1969,1969,https://en.wikipedia.org/wiki/Indiana_University_%E2%80%93_Purdue_University_Indianapolis,1,
Yeshiva University,1886,1886,https://en.wikipedia.org/wiki/Yeshiva_University,,
SUNY Buffalo,"May 11, 1846; 172 years ago",1846,https://en.wikipedia.org/wiki/SUNY_Buffalo,,
SUNY Albany,1844,1844,https://en.wikipedia.org/wiki/SUNY_Albany,,
Saarland University,1948,1948,https://en.wikipedia.org/wiki/Saarland_University,,
Nankai University,1919,1919,https://en.wikipedia.org/wiki/Nankai_University,,
Hannover Medical School,1961,1961,https://en.wikipedia.org/wiki/Hannover_Medical_School,1,
Universitat Politecnica de Catalunya,1971,1971,https://en.wikipedia.org/wiki/Universitat_Politecnica_de_Catalunya,1,
Weizmann Institute of Science,1934,1934,https://en.wikipedia.org/wiki/Weizmann_Institute_of_Science,,
Washington State University Pullman,"March 28, 1890",1890,https://en.wikipedia.org/wiki/Washington_State_University,,
Nanjing University of Aeronautics and Astronautics,1952,1952,https://en.wikipedia.org/wiki/Nanjing_University_of_Aeronautics_and_Astronautics,1,
National Technical University of Athens,"December 31, 1836 (OS)
January 21, 1837 (NS)[1]",1836,https://en.wikipedia.org/wiki/National_Technical_University_of_Athens,,
University of New Mexico,"February 28, 1889",1889,https://en.wikipedia.org/wiki/University_of_New_Mexico,,
Islamic Azad University,1982,1982,https://en.wikipedia.org/wiki/Islamic_Azad_University,1,
University of Belgrade,1808; 210 years ago[2],1808,https://en.wikipedia.org/wiki/University_of_Belgrade,,
