Institution,establishment_date,source,,order,type,name,countryCode,region,sector,id,country
Harvard University,,,,0,application/json,Harvard University,usa,NAM,academic,508076,United States
Stanford University,,,,1,application/json,Stanford University,usa,NAM,academic,508219,United States
University of Cambridge,,,,2,application/json,University of Cambridge,gbr,EUR,academic,315068,United Kingdom
Massachusetts Institute of Technology,,,,3,application/json,Massachusetts Institute of Technology,usa,NAM,academic,508111,United States
University of California at Berkeley,,,,4,application/json,University of California at Berkeley,usa,NAM,academic,508259,United States
Columbia University,,,,5,application/json,Columbia University,usa,NAM,academic,508046,United States
Princeton University,,,,6,application/json,Princeton University,usa,NAM,academic,508191,United States
University of Oxford,,,,7,application/json,University of Oxford,gbr,EUR,academic,315091,United Kingdom
University of Toronto,,,,8,application/json,University of Toronto,can,NAM,academic,501048,Canada
Johns Hopkins University,,,,9,application/json,Johns Hopkins University,usa,NAM,academic,508094,United States
University of Chicago,,,,10,application/json,University of Chicago,usa,NAM,academic,508270,United States
Yale University,,,,11,application/json,Yale University,usa,NAM,academic,508383,United States
University of Pennsylvania,,,,12,application/json,University of Pennsylvania,usa,NAM,academic,508331,United States
University of Washington,,,,13,application/json,University of Washington,usa,NAM,academic,508358,United States
Cornell University,,,,14,application/json,Cornell University,usa,NAM,academic,508047,United States
University College London,,,,15,application/json,University College London,gbr,EUR,academic,315061,United Kingdom
University of Michigan,,,,15,application/json,University of Michigan,usa,NAM,academic,508303,United States
University of California at San Diego,,,,16,application/json,University of California at San Diego,usa,NAM,academic,508264,United States
Ecole Polytechnique Federale de Lausanne (EPFL),,,,16,application/json,Ecole Polytechnique Federale de Lausanne (EPFL),che,EUR,academic,306002,Switzerland
University of California at San Francisco,1864,"https://en.wikipedia.org/wiki/University_of_California,_San_Francisco",,17,application/json,University of California at San Francisco,usa,NAM,academic,508265,United States
University of California at Los Angeles,,,,18,application/json,University of California at Los Angeles,usa,NAM,academic,508262,United States
Imperial College London,,,,18,application/json,Imperial College London,gbr,EUR,academic,315018,United Kingdom
University of Exeter,,,,19,application/json,University of Exeter,gbr,EUR,academic,315076,United Kingdom
California Institute of Technology,,,,19,application/json,California Institute of Technology,usa,NAM,academic,508021,United States
Duke University,,,,20,application/json,Duke University,usa,NAM,academic,508053,United States
University of Kansas,,,,21,application/json,University of Kansas,usa,NAM,academic,508287,United States
Universite Paris-Sud,,,,21,application/json,Universite Paris-Sud,fra,EUR,academic,314094,France
Georgia State University,,,,22,application/json,Georgia State University,usa,NAM,academic,508074,United States
Griffith University Queensland,,,,23,application/json,Griffith University Queensland,aus,APAC,academic,201011,Australia
ETH Zurich,,,,23,application/json,ETH Zurich,che,EUR,academic,306003,Switzerland
City University of Hong Kong,,,,24,application/json,City University of Hong Kong,hkg,APAC,academic,205002,Hong Kong
University of Texas at Austin,,,,24,application/json,University of Texas at Austin,usa,NAM,academic,508345,United States
University of Antwerp,,,,25,application/json,University of Antwerp,bel,EUR,academic,303011,Belgium
Northwestern University,,,,25,application/json,Northwestern University,usa,NAM,academic,508175,United States
Hong Kong Polytechnic University,,,,26,application/json,Hong Kong Polytechnic University,hkg,APAC,academic,205004,Hong Kong
University of Tokyo,,,,26,application/json,University of Tokyo,jpn,APAC,academic,208180,Japan
University College Dublin,,,,27,application/json,University College Dublin,irl,EUR,academic,319008,Ireland
New York University,,,,27,application/json,New York University,usa,NAM,academic,508166,United States
University of Canterbury,,,,28,application/json,University of Canterbury,nzl,APAC,academic,212006,New Zealand
University of Southern California,,,,28,application/json,University of Southern California,usa,NAM,academic,508341,United States
University of Illinois at Urbana-Champaign,,,,29,application/json,University of Illinois at Urbana-Champaign,usa,NAM,academic,508285,United States
Boston College,,,,29,application/json,Boston College,usa,NAM,academic,508012,United States
Universite Laval,,,,30,application/json,Universite Laval,can,NAM,academic,501034,Canada
McGill University,,,,30,application/json,McGill University,can,NAM,academic,501016,Canada
Jadavpur University,,,,31,application/json,Jadavpur University,ind,APAC,academic,207040,India
University of Manchester,,,,31,application/json,University of Manchester,gbr,EUR,academic,315088,United Kingdom
Moscow State University,,,,32,application/json,Moscow State University,rus,EUR,academic,331011,Russian Federation
University of British Columbia,,,,32,application/json,University of British Columbia,can,NAM,academic,501036,Canada
University of North Carolina,,,,33,application/json,University of North Carolina,usa,NAM,academic,508320,United States
University of Cyprus,,,,33,application/json,University of Cyprus,cyp,EUR,academic,307001,Cyprus
